dc1,Nx,Ny,c,f,dc2,ht,lg1,i,mathindex,N
8.5mm,1,1,2.0mm,400.0kHz,5.1mm,4.6mm,0.1mm,11.0A,copper_lizt_c_2,14655
17.0mm,2,2,4.0mm,100.0kHz,6.6mm,7.6mm,3.7mm,36.0A,copper_lizt_c_4,14656
16.5mm,1,4,1.0mm,400.0kHz,5.5mm,6.0mm,2.5mm,28.0A,copper_lizt_c_1,14657
10.5mm,1,3,2.0mm,100.0kHz,4.2mm,5.2mm,0.5mm,10.0A,copper_lizt_c_2,14658
16.5mm,9,1,1.0mm,200.0kHz,6.0mm,6.5mm,3.3mm,28.0A,copper_lizt_c_1,14659
14.5mm,2,7,1.0mm,400.0kHz,7.9mm,6.4mm,1.7mm,12.0A,copper_lizt_c_1,14660
11.5mm,1,9,1.0mm,100.0kHz,4.0mm,7.0mm,1.7mm,36.0A,copper_lizt_c_1,14661
6.0mm,1,1,2.0mm,200.0kHz,3.8mm,3.8mm,2.5mm,15.0A,copper_lizt_c_2,14662
12.0mm,2,5,1.5mm,200.0kHz,7.1mm,6.6mm,3.5mm,13.0A,copper_lizt_c_1.5,14663
6.0mm,2,1,3.0mm,400.0kHz,3.3mm,2.8mm,3.5mm,34.0A,copper_lizt_c_3,14664
13.0mm,1,4,1.0mm,400.0kHz,4.4mm,3.9mm,2.7mm,19.0A,copper_lizt_c_1,14665
12.5mm,1,6,1.0mm,100.0kHz,4.2mm,4.2mm,2.7mm,4.0A,copper_lizt_c_1,14666
9.5mm,4,3,2.0mm,400.0kHz,4.4mm,4.4mm,2.5mm,6.0A,copper_lizt_c_2,14667
9.0mm,1,2,3.5mm,100.0kHz,4.7mm,3.2mm,2.5mm,48.0A,copper_lizt_c_3.5,14668
15.0mm,1,2,4.5mm,100.0kHz,7.5mm,7.0mm,3.3mm,17.0A,copper_lizt_c_4.5,14669
10.5mm,2,2,3.0mm,300.0kHz,5.2mm,4.7mm,3.7mm,22.0A,copper_lizt_c_3,14670
15.5mm,2,2,1.0mm,400.0kHz,7.7mm,6.7mm,2.1mm,36.0A,copper_lizt_c_1,14671
10.0mm,5,5,1.0mm,200.0kHz,3.0mm,4.5mm,1.1mm,8.0A,copper_lizt_c_1,14672
15.0mm,9,1,1.0mm,200.0kHz,4.5mm,5.0mm,2.9mm,47.0A,copper_lizt_c_1,14673
12.5mm,2,3,3.0mm,200.0kHz,6.7mm,5.7mm,3.7mm,18.0A,copper_lizt_c_3,14674
17.5mm,3,2,1.5mm,300.0kHz,6.8mm,7.8mm,3.3mm,11.0A,copper_lizt_c_1.5,14675
6.0mm,1,2,4.5mm,200.0kHz,2.3mm,3.8mm,0.5mm,42.0A,copper_lizt_c_4.5,14676
13.5mm,2,6,1.5mm,200.0kHz,7.6mm,4.6mm,1.9mm,29.0A,copper_lizt_c_1.5,14677
9.0mm,6,2,1.5mm,400.0kHz,2.7mm,2.7mm,3.3mm,33.0A,copper_lizt_c_1.5,14678
6.5mm,7,1,1.0mm,200.0kHz,4.0mm,3.5mm,3.1mm,18.0A,copper_lizt_c_1,14679
11.0mm,3,3,1.0mm,100.0kHz,5.8mm,3.3mm,1.3mm,4.0A,copper_lizt_c_1,14680
9.0mm,2,1,4.5mm,100.0kHz,4.7mm,4.7mm,3.7mm,4.0A,copper_lizt_c_4.5,14681
16.5mm,5,3,1.5mm,400.0kHz,5.0mm,7.0mm,0.5mm,2.0A,copper_lizt_c_1.5,14682
8.5mm,2,3,2.0mm,400.0kHz,4.1mm,4.1mm,3.3mm,4.0A,copper_lizt_c_2,14683
11.0mm,6,6,1.0mm,400.0kHz,6.3mm,3.8mm,2.5mm,3.0A,copper_lizt_c_1,14684
15.0mm,4,3,2.0mm,400.0kHz,4.5mm,4.5mm,3.3mm,27.0A,copper_lizt_c_2,14685
18.0mm,5,5,1.5mm,100.0kHz,5.9mm,6.9mm,3.7mm,35.0A,copper_lizt_c_1.5,14686
9.5mm,3,4,1.5mm,400.0kHz,5.4mm,3.4mm,2.3mm,8.0A,copper_lizt_c_1.5,14687
5.0mm,2,6,1.0mm,200.0kHz,2.0mm,2.5mm,3.7mm,26.0A,copper_lizt_c_1,14688
9.5mm,3,2,1.5mm,300.0kHz,4.4mm,2.9mm,3.3mm,18.0A,copper_lizt_c_1.5,14689
14.0mm,2,6,1.5mm,400.0kHz,8.2mm,4.7mm,2.3mm,31.0A,copper_lizt_c_1.5,14690
5.5mm,8,4,1.0mm,200.0kHz,1.7mm,3.2mm,3.7mm,25.0A,copper_lizt_c_1,14691
11.0mm,8,1,1.0mm,300.0kHz,6.3mm,5.3mm,3.9mm,41.0A,copper_lizt_c_1,14692
10.0mm,6,3,1.5mm,100.0kHz,5.5mm,3.5mm,3.3mm,42.0A,copper_lizt_c_1.5,14693
12.0mm,1,4,2.0mm,400.0kHz,5.1mm,6.1mm,0.9mm,34.0A,copper_lizt_c_2,14694
13.5mm,1,4,1.0mm,200.0kHz,4.6mm,6.1mm,3.3mm,1.0A,copper_lizt_c_1,14695
15.5mm,4,9,1.0mm,200.0kHz,5.7mm,5.2mm,1.1mm,5.0A,copper_lizt_c_1,14696
15.0mm,1,5,1.5mm,100.0kHz,6.5mm,8.0mm,3.1mm,15.0A,copper_lizt_c_1.5,14697
14.0mm,5,6,1.5mm,100.0kHz,8.2mm,6.2mm,3.1mm,10.0A,copper_lizt_c_1.5,14698
16.0mm,1,2,2.5mm,200.0kHz,6.8mm,7.8mm,3.3mm,45.0A,copper_lizt_c_2.5,14699
18.5mm,4,6,1.0mm,400.0kHz,6.6mm,7.1mm,1.7mm,12.0A,copper_lizt_c_1,14700
15.5mm,4,1,1.0mm,300.0kHz,6.7mm,7.2mm,2.7mm,45.0A,copper_lizt_c_1,14701
15.0mm,8,1,1.0mm,400.0kHz,6.0mm,4.5mm,1.7mm,10.0A,copper_lizt_c_1,14702
18.0mm,4,4,1.5mm,200.0kHz,6.9mm,6.9mm,1.5mm,10.0A,copper_lizt_c_1.5,14703
11.5mm,2,3,2.5mm,100.0kHz,5.5mm,5.5mm,1.1mm,24.0A,copper_lizt_c_2.5,14704
13.5mm,3,6,1.5mm,300.0kHz,7.6mm,6.1mm,0.9mm,8.0A,copper_lizt_c_1.5,14705
10.5mm,2,6,1.0mm,200.0kHz,3.7mm,3.2mm,2.7mm,12.0A,copper_lizt_c_1,14706
16.5mm,1,2,2.0mm,300.0kHz,5.5mm,6.0mm,2.5mm,33.0A,copper_lizt_c_2,14707
13.0mm,4,3,1.0mm,400.0kHz,5.4mm,7.4mm,3.1mm,44.0A,copper_lizt_c_1,14708
14.5mm,3,1,2.5mm,300.0kHz,4.9mm,5.9mm,2.9mm,42.0A,copper_lizt_c_2.5,14709
13.0mm,2,4,2.0mm,400.0kHz,5.4mm,6.9mm,2.7mm,42.0A,copper_lizt_c_2,14710
9.0mm,6,5,1.5mm,100.0kHz,4.7mm,2.7mm,3.3mm,8.0A,copper_lizt_c_1.5,14711
12.5mm,5,3,1.0mm,200.0kHz,3.8mm,6.7mm,1.5mm,13.0A,copper_lizt_c_1,14712
17.5mm,3,3,2.0mm,100.0kHz,7.8mm,7.3mm,0.7mm,14.0A,copper_lizt_c_2,14713
16.5mm,6,9,1.0mm,100.0kHz,7.0mm,5.0mm,3.7mm,14.0A,copper_lizt_c_1,14714
14.0mm,3,4,1.5mm,100.0kHz,7.2mm,6.2mm,2.9mm,42.0A,copper_lizt_c_1.5,14715
12.0mm,8,8,1.0mm,200.0kHz,6.6mm,5.1mm,3.3mm,11.0A,copper_lizt_c_1,14716
19.5mm,1,2,2.5mm,100.0kHz,5.9mm,6.9mm,0.5mm,33.0A,copper_lizt_c_2.5,14717
9.5mm,5,3,1.0mm,400.0kHz,4.9mm,3.4mm,3.1mm,40.0A,copper_lizt_c_1,14718
6.0mm,6,1,1.5mm,300.0kHz,3.8mm,3.8mm,1.7mm,35.0A,copper_lizt_c_1.5,14719
13.5mm,1,1,2.0mm,100.0kHz,4.1mm,8.1mm,1.3mm,43.0A,copper_lizt_c_2,14720
8.5mm,3,6,1.0mm,300.0kHz,3.6mm,2.6mm,3.7mm,41.0A,copper_lizt_c_1,14721
14.0mm,3,7,1.0mm,100.0kHz,8.2mm,5.2mm,3.5mm,25.0A,copper_lizt_c_1,14722
19.5mm,2,7,1.0mm,200.0kHz,6.4mm,5.9mm,1.3mm,1.0A,copper_lizt_c_1,14723
11.5mm,1,9,1.0mm,300.0kHz,7.0mm,5.0mm,1.7mm,2.0A,copper_lizt_c_1,14724
19.5mm,2,2,2.5mm,200.0kHz,7.9mm,7.4mm,3.1mm,10.0A,copper_lizt_c_2.5,14725
9.0mm,3,3,2.5mm,400.0kHz,2.7mm,4.7mm,3.9mm,19.0A,copper_lizt_c_2.5,14726
10.0mm,1,1,3.5mm,300.0kHz,4.5mm,6.0mm,0.5mm,43.0A,copper_lizt_c_3.5,14727
9.5mm,9,2,1.0mm,400.0kHz,4.9mm,5.4mm,3.9mm,45.0A,copper_lizt_c_1,14728
12.0mm,2,2,1.0mm,200.0kHz,6.6mm,5.1mm,2.5mm,17.0A,copper_lizt_c_1,14729
13.0mm,1,1,4.5mm,400.0kHz,6.4mm,3.9mm,3.1mm,49.0A,copper_lizt_c_4.5,14730
7.5mm,3,1,2.0mm,300.0kHz,3.8mm,2.8mm,1.9mm,20.0A,copper_lizt_c_2,14731
9.5mm,3,8,1.0mm,100.0kHz,2.9mm,2.9mm,1.9mm,10.0A,copper_lizt_c_1,14732
18.0mm,3,1,1.5mm,100.0kHz,5.4mm,7.4mm,0.5mm,32.0A,copper_lizt_c_1.5,14733
8.5mm,2,4,1.5mm,300.0kHz,4.6mm,4.6mm,3.5mm,31.0A,copper_lizt_c_1.5,14734
13.0mm,6,3,1.5mm,200.0kHz,5.4mm,4.9mm,3.1mm,30.0A,copper_lizt_c_1.5,14735
7.5mm,4,2,1.5mm,200.0kHz,3.3mm,2.8mm,3.3mm,23.0A,copper_lizt_c_1.5,14736
6.5mm,1,2,1.0mm,100.0kHz,3.5mm,3.5mm,1.1mm,36.0A,copper_lizt_c_1,14737
8.0mm,2,1,3.0mm,400.0kHz,4.9mm,3.9mm,1.5mm,43.0A,copper_lizt_c_3,14738
12.0mm,2,3,3.0mm,400.0kHz,5.6mm,6.1mm,2.9mm,25.0A,copper_lizt_c_3,14739
15.5mm,1,1,2.0mm,100.0kHz,7.2mm,7.7mm,1.7mm,41.0A,copper_lizt_c_2,14740
15.5mm,2,2,1.0mm,100.0kHz,6.2mm,5.2mm,1.7mm,12.0A,copper_lizt_c_1,14741
11.0mm,2,2,4.0mm,200.0kHz,6.3mm,6.3mm,1.5mm,39.0A,copper_lizt_c_4,14742
19.0mm,6,6,1.5mm,300.0kHz,7.7mm,5.7mm,3.7mm,10.0A,copper_lizt_c_1.5,14743
16.5mm,6,1,1.0mm,300.0kHz,8.0mm,6.0mm,3.7mm,41.0A,copper_lizt_c_1,14744
13.5mm,3,3,1.5mm,100.0kHz,6.6mm,5.1mm,3.3mm,25.0A,copper_lizt_c_1.5,14745
14.0mm,2,2,2.5mm,200.0kHz,6.7mm,7.2mm,1.9mm,3.0A,copper_lizt_c_2.5,14746
13.5mm,8,2,1.0mm,400.0kHz,5.1mm,5.1mm,1.1mm,15.0A,copper_lizt_c_1,14747
12.5mm,4,3,1.0mm,100.0kHz,5.2mm,5.2mm,3.7mm,14.0A,copper_lizt_c_1,14748
11.5mm,1,1,4.5mm,400.0kHz,6.5mm,7.0mm,0.5mm,41.0A,copper_lizt_c_4.5,14749
13.5mm,1,3,2.5mm,400.0kHz,6.6mm,6.1mm,1.7mm,7.0A,copper_lizt_c_2.5,14750
6.5mm,2,9,1.0mm,400.0kHz,2.5mm,4.0mm,2.9mm,12.0A,copper_lizt_c_1,14751
17.5mm,1,3,2.0mm,400.0kHz,7.8mm,7.8mm,0.7mm,22.0A,copper_lizt_c_2,14752
6.0mm,2,3,1.0mm,100.0kHz,1.8mm,1.8mm,2.3mm,21.0A,copper_lizt_c_1,14753
7.5mm,2,1,2.0mm,300.0kHz,4.8mm,4.8mm,2.3mm,3.0A,copper_lizt_c_2,14754
13.5mm,3,2,2.5mm,200.0kHz,5.6mm,5.6mm,0.9mm,21.0A,copper_lizt_c_2.5,14755
12.5mm,2,1,1.5mm,200.0kHz,5.7mm,6.7mm,3.9mm,40.0A,copper_lizt_c_1.5,14756
15.0mm,1,3,2.5mm,100.0kHz,5.5mm,7.5mm,2.3mm,32.0A,copper_lizt_c_2.5,14757
12.0mm,9,2,1.0mm,400.0kHz,4.1mm,6.1mm,3.1mm,34.0A,copper_lizt_c_1,14758
16.0mm,3,4,1.0mm,400.0kHz,7.3mm,5.8mm,2.1mm,13.0A,copper_lizt_c_1,14759
19.5mm,2,1,2.0mm,400.0kHz,6.9mm,5.9mm,1.5mm,48.0A,copper_lizt_c_2,14760
17.5mm,1,3,2.5mm,200.0kHz,5.3mm,6.3mm,0.9mm,47.0A,copper_lizt_c_2.5,14761
14.0mm,1,2,2.5mm,400.0kHz,6.2mm,4.2mm,1.7mm,16.0A,copper_lizt_c_2.5,14762
9.5mm,3,6,1.0mm,200.0kHz,5.4mm,3.9mm,1.9mm,6.0A,copper_lizt_c_1,14763
12.5mm,4,4,1.5mm,100.0kHz,4.2mm,7.2mm,3.7mm,2.0A,copper_lizt_c_1.5,14764
14.0mm,3,2,1.0mm,200.0kHz,5.2mm,7.2mm,0.7mm,3.0A,copper_lizt_c_1,14765
11.0mm,3,1,2.5mm,100.0kHz,5.8mm,5.3mm,1.5mm,42.0A,copper_lizt_c_2.5,14766
14.5mm,5,2,1.0mm,300.0kHz,6.9mm,4.4mm,0.7mm,12.0A,copper_lizt_c_1,14767
17.0mm,3,4,2.0mm,300.0kHz,8.1mm,6.1mm,3.7mm,44.0A,copper_lizt_c_2,14768
15.5mm,4,5,1.5mm,200.0kHz,6.7mm,8.2mm,2.7mm,18.0A,copper_lizt_c_1.5,14769
12.5mm,2,2,1.0mm,100.0kHz,6.2mm,5.2mm,1.3mm,41.0A,copper_lizt_c_1,14770
9.5mm,5,5,1.0mm,400.0kHz,4.9mm,4.4mm,3.3mm,4.0A,copper_lizt_c_1,14771
16.5mm,1,3,1.0mm,100.0kHz,7.5mm,8.0mm,1.7mm,11.0A,copper_lizt_c_1,14772
13.0mm,4,2,1.0mm,400.0kHz,5.9mm,4.4mm,0.9mm,25.0A,copper_lizt_c_1,14773
7.5mm,2,5,1.5mm,200.0kHz,3.8mm,4.2mm,1.7mm,24.0A,copper_lizt_c_1.5,14774
16.0mm,1,8,1.0mm,400.0kHz,6.8mm,5.3mm,2.3mm,4.0A,copper_lizt_c_1,14775
14.0mm,2,1,2.5mm,400.0kHz,5.7mm,5.7mm,0.1mm,8.0A,copper_lizt_c_2.5,14776
8.5mm,1,1,3.0mm,200.0kHz,4.1mm,4.1mm,3.5mm,35.0A,copper_lizt_c_3,14777
9.5mm,2,3,2.0mm,100.0kHz,3.4mm,4.9mm,1.3mm,40.0A,copper_lizt_c_2,14778
7.0mm,1,1,4.0mm,400.0kHz,2.6mm,2.1mm,0.9mm,22.0A,copper_lizt_c_4,14779
13.5mm,3,1,1.0mm,200.0kHz,8.1mm,5.1mm,0.7mm,33.0A,copper_lizt_c_1,14780
17.0mm,2,1,2.0mm,100.0kHz,5.1mm,7.6mm,1.7mm,42.0A,copper_lizt_c_2,14781
11.0mm,1,2,1.5mm,200.0kHz,5.8mm,3.3mm,0.5mm,14.0A,copper_lizt_c_1.5,14782
14.0mm,1,1,3.5mm,300.0kHz,7.2mm,7.2mm,1.1mm,2.0A,copper_lizt_c_3.5,14783
12.5mm,1,9,1.0mm,100.0kHz,7.2mm,6.7mm,3.7mm,31.0A,copper_lizt_c_1,14784
15.5mm,3,3,2.5mm,100.0kHz,4.7mm,6.2mm,1.1mm,27.0A,copper_lizt_c_2.5,14785
14.0mm,2,1,3.5mm,400.0kHz,7.7mm,6.2mm,2.3mm,49.0A,copper_lizt_c_3.5,14786
16.0mm,5,1,1.0mm,400.0kHz,6.3mm,7.3mm,3.3mm,11.0A,copper_lizt_c_1,14787
14.0mm,4,4,1.0mm,300.0kHz,7.2mm,6.7mm,0.7mm,2.0A,copper_lizt_c_1,14788
15.0mm,3,1,2.0mm,100.0kHz,5.0mm,5.0mm,1.5mm,26.0A,copper_lizt_c_2,14789
11.5mm,1,1,3.5mm,300.0kHz,7.0mm,6.5mm,1.5mm,16.0A,copper_lizt_c_3.5,14790
14.0mm,1,1,2.0mm,400.0kHz,5.7mm,6.2mm,0.3mm,29.0A,copper_lizt_c_2,14791
16.0mm,1,1,1.0mm,100.0kHz,6.3mm,5.8mm,0.5mm,25.0A,copper_lizt_c_1,14792
10.0mm,3,2,2.5mm,300.0kHz,3.5mm,4.5mm,3.1mm,2.0A,copper_lizt_c_2.5,14793
14.0mm,5,1,1.0mm,300.0kHz,7.2mm,7.7mm,3.5mm,13.0A,copper_lizt_c_1,14794
18.5mm,1,3,1.0mm,200.0kHz,6.1mm,6.6mm,3.7mm,8.0A,copper_lizt_c_1,14795
11.5mm,4,2,1.0mm,400.0kHz,6.5mm,7.0mm,3.7mm,23.0A,copper_lizt_c_1,14796
13.0mm,2,2,4.0mm,300.0kHz,7.9mm,3.9mm,1.9mm,48.0A,copper_lizt_c_4,14797
13.5mm,5,1,1.5mm,200.0kHz,4.6mm,7.1mm,3.9mm,43.0A,copper_lizt_c_1.5,14798
11.5mm,6,1,1.0mm,100.0kHz,7.0mm,5.5mm,3.1mm,14.0A,copper_lizt_c_1,14799
18.0mm,1,3,1.0mm,200.0kHz,6.4mm,6.4mm,3.9mm,44.0A,copper_lizt_c_1,14800
16.5mm,2,8,1.0mm,400.0kHz,6.0mm,6.0mm,3.5mm,6.0A,copper_lizt_c_1,14801
5.0mm,3,6,1.5mm,300.0kHz,2.0mm,2.0mm,2.9mm,26.0A,copper_lizt_c_1.5,14802
10.0mm,3,1,3.0mm,300.0kHz,3.0mm,3.5mm,2.1mm,46.0A,copper_lizt_c_3,14803
17.0mm,9,1,1.0mm,400.0kHz,5.1mm,5.1mm,2.5mm,45.0A,copper_lizt_c_1,14804
14.0mm,7,1,1.0mm,200.0kHz,6.7mm,8.2mm,1.9mm,6.0A,copper_lizt_c_1,14805
19.0mm,8,9,1.0mm,300.0kHz,7.7mm,7.2mm,2.3mm,4.0A,copper_lizt_c_1,14806
9.5mm,3,3,2.5mm,400.0kHz,2.9mm,4.4mm,3.9mm,5.0A,copper_lizt_c_2.5,14807
12.0mm,7,3,1.0mm,400.0kHz,5.1mm,6.6mm,2.5mm,20.0A,copper_lizt_c_1,14808
11.5mm,5,2,1.5mm,300.0kHz,5.5mm,6.5mm,1.9mm,12.0A,copper_lizt_c_1.5,14809
10.0mm,2,2,1.5mm,300.0kHz,3.5mm,4.0mm,2.3mm,49.0A,copper_lizt_c_1.5,14810
9.0mm,2,1,1.0mm,200.0kHz,5.2mm,5.2mm,1.5mm,9.0A,copper_lizt_c_1,14811
18.5mm,8,2,1.0mm,100.0kHz,7.6mm,6.1mm,3.5mm,8.0A,copper_lizt_c_1,14812
16.0mm,3,3,1.0mm,100.0kHz,4.8mm,7.3mm,1.7mm,26.0A,copper_lizt_c_1,14813
12.5mm,2,4,2.0mm,200.0kHz,7.2mm,4.8mm,1.1mm,3.0A,copper_lizt_c_2,14814
19.5mm,4,3,2.0mm,300.0kHz,5.9mm,6.4mm,2.7mm,2.0A,copper_lizt_c_2,14815
6.0mm,4,3,2.0mm,200.0kHz,3.3mm,3.8mm,2.9mm,49.0A,copper_lizt_c_2,14816
14.5mm,2,9,1.0mm,200.0kHz,4.9mm,7.4mm,1.3mm,1.0A,copper_lizt_c_1,14817
7.5mm,1,1,3.5mm,400.0kHz,4.2mm,3.8mm,2.1mm,11.0A,copper_lizt_c_3.5,14818
13.0mm,1,1,4.5mm,400.0kHz,7.4mm,5.4mm,2.5mm,28.0A,copper_lizt_c_4.5,14819
15.0mm,7,7,1.0mm,300.0kHz,6.5mm,5.0mm,3.9mm,14.0A,copper_lizt_c_1,14820
13.5mm,9,3,1.0mm,100.0kHz,5.6mm,6.1mm,3.5mm,15.0A,copper_lizt_c_1,14821
9.5mm,3,1,2.5mm,400.0kHz,3.4mm,5.4mm,2.5mm,46.0A,copper_lizt_c_2.5,14822
19.5mm,2,4,1.5mm,300.0kHz,7.4mm,6.9mm,2.5mm,21.0A,copper_lizt_c_1.5,14823
13.0mm,3,1,1.5mm,200.0kHz,4.4mm,5.9mm,2.1mm,17.0A,copper_lizt_c_1.5,14824
11.0mm,1,1,4.0mm,400.0kHz,5.3mm,4.8mm,1.9mm,26.0A,copper_lizt_c_4,14825
14.5mm,1,5,1.0mm,200.0kHz,4.4mm,5.4mm,2.7mm,5.0A,copper_lizt_c_1,14826
9.5mm,3,1,2.5mm,200.0kHz,5.9mm,4.4mm,3.3mm,8.0A,copper_lizt_c_2.5,14827
11.5mm,2,2,4.0mm,200.0kHz,6.5mm,7.0mm,2.9mm,32.0A,copper_lizt_c_4,14828
18.0mm,5,4,1.5mm,400.0kHz,6.9mm,5.4mm,3.5mm,32.0A,copper_lizt_c_1.5,14829
9.5mm,5,1,1.0mm,200.0kHz,2.9mm,5.4mm,0.5mm,21.0A,copper_lizt_c_1,14830
19.0mm,5,5,1.0mm,100.0kHz,7.2mm,8.2mm,3.3mm,25.0A,copper_lizt_c_1,14831
12.0mm,3,1,2.5mm,100.0kHz,7.1mm,6.1mm,2.5mm,30.0A,copper_lizt_c_2.5,14832
10.0mm,5,2,1.0mm,300.0kHz,3.5mm,6.0mm,3.7mm,46.0A,copper_lizt_c_1,14833
6.5mm,2,1,3.5mm,200.0kHz,3.5mm,3.0mm,2.5mm,22.0A,copper_lizt_c_3.5,14834
10.5mm,8,3,1.0mm,400.0kHz,6.2mm,3.2mm,3.9mm,27.0A,copper_lizt_c_1,14835
17.0mm,2,5,1.5mm,300.0kHz,5.1mm,6.1mm,3.9mm,14.0A,copper_lizt_c_1.5,14836
13.0mm,1,4,2.0mm,100.0kHz,6.4mm,5.9mm,1.3mm,28.0A,copper_lizt_c_2,14837
16.0mm,4,2,1.5mm,200.0kHz,6.3mm,7.3mm,2.5mm,46.0A,copper_lizt_c_1.5,14838
14.5mm,1,7,1.0mm,100.0kHz,6.4mm,5.4mm,2.1mm,23.0A,copper_lizt_c_1,14839
18.5mm,5,5,1.0mm,100.0kHz,7.6mm,6.1mm,3.9mm,17.0A,copper_lizt_c_1,14840
9.0mm,9,4,1.0mm,400.0kHz,4.2mm,2.7mm,1.5mm,5.0A,copper_lizt_c_1,14841
17.0mm,2,2,3.5mm,100.0kHz,7.6mm,5.1mm,2.7mm,14.0A,copper_lizt_c_3.5,14842
18.5mm,2,8,1.0mm,100.0kHz,6.1mm,5.6mm,0.9mm,2.0A,copper_lizt_c_1,14843
15.5mm,6,1,1.0mm,400.0kHz,8.2mm,5.2mm,2.1mm,32.0A,copper_lizt_c_1,14844
11.0mm,2,2,3.5mm,200.0kHz,4.8mm,6.8mm,3.1mm,14.0A,copper_lizt_c_3.5,14845
7.5mm,2,2,4.0mm,400.0kHz,4.2mm,2.3mm,3.7mm,5.0A,copper_lizt_c_4,14846
9.5mm,2,1,2.5mm,200.0kHz,3.9mm,4.9mm,2.5mm,13.0A,copper_lizt_c_2.5,14847
7.5mm,2,1,3.0mm,100.0kHz,4.8mm,2.8mm,1.7mm,49.0A,copper_lizt_c_3,14848
5.5mm,1,2,3.0mm,100.0kHz,3.2mm,3.2mm,1.9mm,1.0A,copper_lizt_c_3,14849
11.0mm,3,2,2.0mm,200.0kHz,6.3mm,6.3mm,1.1mm,40.0A,copper_lizt_c_2,14850
15.0mm,7,1,1.0mm,100.0kHz,5.5mm,8.0mm,0.9mm,20.0A,copper_lizt_c_1,14851
9.5mm,1,3,1.0mm,200.0kHz,3.9mm,2.9mm,2.7mm,48.0A,copper_lizt_c_1,14852
10.0mm,4,2,1.0mm,100.0kHz,5.0mm,5.5mm,2.7mm,47.0A,copper_lizt_c_1,14853
13.0mm,2,2,4.0mm,100.0kHz,7.9mm,5.4mm,3.3mm,1.0A,copper_lizt_c_4,14854
14.0mm,4,1,2.0mm,400.0kHz,6.2mm,6.7mm,0.5mm,17.0A,copper_lizt_c_2,14855
19.5mm,1,1,3.0mm,200.0kHz,5.9mm,7.9mm,3.1mm,43.0A,copper_lizt_c_3,14856
19.0mm,2,7,1.0mm,300.0kHz,6.2mm,8.2mm,2.9mm,18.0A,copper_lizt_c_1,14857
5.0mm,3,1,2.5mm,100.0kHz,2.0mm,3.0mm,1.9mm,11.0A,copper_lizt_c_2.5,14858
10.5mm,2,4,1.5mm,400.0kHz,3.2mm,3.7mm,2.7mm,1.0A,copper_lizt_c_1.5,14859
8.5mm,2,8,1.0mm,100.0kHz,3.6mm,3.6mm,3.3mm,43.0A,copper_lizt_c_1,14860
16.0mm,2,5,1.0mm,400.0kHz,6.3mm,6.8mm,0.3mm,1.0A,copper_lizt_c_1,14861
10.0mm,2,3,1.0mm,400.0kHz,5.0mm,3.0mm,3.7mm,38.0A,copper_lizt_c_1,14862
9.5mm,1,1,2.5mm,400.0kHz,2.9mm,5.9mm,0.9mm,15.0A,copper_lizt_c_2.5,14863
6.5mm,6,2,1.5mm,400.0kHz,2.5mm,3.0mm,2.9mm,35.0A,copper_lizt_c_1.5,14864
11.0mm,2,2,4.0mm,300.0kHz,3.3mm,4.3mm,2.1mm,13.0A,copper_lizt_c_4,14865
11.0mm,3,4,1.5mm,400.0kHz,3.3mm,3.3mm,2.5mm,41.0A,copper_lizt_c_1.5,14866
14.0mm,7,1,1.0mm,200.0kHz,5.7mm,5.2mm,2.5mm,2.0A,copper_lizt_c_1,14867
11.0mm,2,5,1.0mm,100.0kHz,6.3mm,3.8mm,2.1mm,28.0A,copper_lizt_c_1,14868
16.0mm,2,2,3.5mm,400.0kHz,7.8mm,6.3mm,3.1mm,23.0A,copper_lizt_c_3.5,14869
13.0mm,1,2,2.0mm,200.0kHz,6.4mm,7.9mm,0.7mm,6.0A,copper_lizt_c_2,14870
8.5mm,9,1,1.0mm,100.0kHz,5.1mm,4.6mm,1.1mm,21.0A,copper_lizt_c_1,14871
10.5mm,2,2,2.0mm,300.0kHz,6.2mm,6.2mm,3.9mm,2.0A,copper_lizt_c_2,14872
12.0mm,3,1,3.0mm,100.0kHz,6.1mm,4.6mm,0.5mm,27.0A,copper_lizt_c_3,14873
14.0mm,3,3,2.5mm,300.0kHz,6.7mm,5.7mm,2.5mm,8.0A,copper_lizt_c_2.5,14874
14.0mm,3,5,1.5mm,200.0kHz,8.2mm,4.7mm,2.9mm,1.0A,copper_lizt_c_1.5,14875
11.0mm,2,2,4.5mm,100.0kHz,6.8mm,6.3mm,1.7mm,13.0A,copper_lizt_c_4.5,14876
13.0mm,1,3,2.0mm,200.0kHz,5.9mm,7.9mm,0.5mm,6.0A,copper_lizt_c_2,14877
13.5mm,7,3,1.0mm,400.0kHz,6.1mm,6.6mm,2.3mm,21.0A,copper_lizt_c_1,14878
8.5mm,4,4,2.0mm,400.0kHz,5.1mm,2.6mm,3.7mm,30.0A,copper_lizt_c_2,14879
9.0mm,3,3,2.5mm,400.0kHz,3.2mm,5.2mm,1.9mm,37.0A,copper_lizt_c_2.5,14880
18.0mm,1,2,4.5mm,300.0kHz,6.9mm,6.4mm,1.9mm,36.0A,copper_lizt_c_4.5,14881
16.5mm,3,1,1.0mm,200.0kHz,7.5mm,5.0mm,2.1mm,11.0A,copper_lizt_c_1,14882
14.5mm,1,3,1.0mm,200.0kHz,4.9mm,4.4mm,0.3mm,19.0A,copper_lizt_c_1,14883
